country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,CO,,,47.7,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,,,47.7,4.0,RE_PV_Openfield_Lim_[BR]
BR,CO,,,47.7,18.1,RE_WIND_Onshore_Lim_[BR]
BR,CO,,,47.7,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,,,47.7,4.0,PP_CO2_[BR]
BR,CO,,,47.7,0.3,BESS_[BR]
BR,CO,,,47.7,1.5,EL_to_HTH_[BR]
BR,CO,,,47.7,0.0,EL_to_NH3_[BR]
BR,CO,,,47.7,0.0,NH3_Storage_[BR]
BR,CO,,,47.7,0.0,NH3_to_EL_[BR]
BR,CO,,,47.7,0.0,NH3_to_HTH_[BR]
BR,CO,,,47.7,5.2,FF_to_HTH_[BR]
BR,CO,,,47.7,0.0,EL_Demand_[BR]
BR,CO,,,47.7,0.0,HTH_Demand_[BR]
BR,CO,,,47.7,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,,,47.7,0.5,RE_PV_Openfield_Lim_[CO]
BR,CO,,,47.7,2.8,RE_WIND_Onshore_Lim_[CO]
BR,CO,,,47.7,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,,,47.7,0.1,PP_CO2_[CO]
BR,CO,,,47.7,0.3,BESS_[CO]
BR,CO,,,47.7,0.1,EL_to_HTH_[CO]
BR,CO,,,47.7,0.0,EL_to_NH3_[CO]
BR,CO,,,47.7,0.0,NH3_Storage_[CO]
BR,CO,,,47.7,0.0,NH3_to_EL_[CO]
BR,CO,,,47.7,0.0,NH3_to_HTH_[CO]
BR,CO,,,47.7,0.6,FF_to_HTH_[CO]
BR,CO,,,47.7,0.0,EL_Demand_[CO]
BR,CO,,,47.7,0.0,HTH_Demand_[CO]
BR,CO,,,47.7,1.4,EL_Transport_[BR-CO]
BR,CO,,,47.7,0.0,NH3_Transport_[BR-CO]
BR,CO,,,11.9,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,,,11.9,5.3,RE_PV_Openfield_Lim_[BR]
BR,CO,,,11.9,21.0,RE_WIND_Onshore_Lim_[BR]
BR,CO,,,11.9,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,,,11.9,5.6,PP_CO2_[BR]
BR,CO,,,11.9,0.2,BESS_[BR]
BR,CO,,,11.9,1.5,EL_to_HTH_[BR]
BR,CO,,,11.9,0.3,EL_to_NH3_[BR]
BR,CO,,,11.9,0.4,NH3_Storage_[BR]
BR,CO,,,11.9,0.0,NH3_to_EL_[BR]
BR,CO,,,11.9,0.1,NH3_to_HTH_[BR]
BR,CO,,,11.9,1.3,FF_to_HTH_[BR]
BR,CO,,,11.9,0.0,EL_Demand_[BR]
BR,CO,,,11.9,0.0,HTH_Demand_[BR]
BR,CO,,,11.9,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,,,11.9,0.6,RE_PV_Openfield_Lim_[CO]
BR,CO,,,11.9,3.2,RE_WIND_Onshore_Lim_[CO]
BR,CO,,,11.9,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,,,11.9,0.0,PP_CO2_[CO]
BR,CO,,,11.9,0.2,BESS_[CO]
BR,CO,,,11.9,0.1,EL_to_HTH_[CO]
BR,CO,,,11.9,0.1,EL_to_NH3_[CO]
BR,CO,,,11.9,0.3,NH3_Storage_[CO]
BR,CO,,,11.9,0.1,NH3_to_EL_[CO]
BR,CO,,,11.9,0.0,NH3_to_HTH_[CO]
BR,CO,,,11.9,0.1,FF_to_HTH_[CO]
BR,CO,,,11.9,0.0,EL_Demand_[CO]
BR,CO,,,11.9,0.0,HTH_Demand_[CO]
BR,CO,,,11.9,1.7,EL_Transport_[BR-CO]
BR,CO,,,11.9,0.0,NH3_Transport_[BR-CO]
BR,CO,,,56.3,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,,,56.3,3.8,RE_PV_Openfield_Lim_[BR]
BR,CO,,,56.3,17.1,RE_WIND_Onshore_Lim_[BR]
BR,CO,,,56.3,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,,,56.3,4.3,PP_CO2_[BR]
BR,CO,,,56.3,0.3,BESS_[BR]
