country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,MY,,,133.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,,,133.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,,,133.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,,,133.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,MY,,,133.0,3.6,PP_CO2_[SG]
SG,MY,,,133.0,0.0,BESS_[SG]
SG,MY,,,133.0,0.0,EL_to_HTH_[SG]
SG,MY,,,133.0,0.0,EL_to_NH3_[SG]
SG,MY,,,133.0,0.0,NH3_Storage_[SG]
SG,MY,,,133.0,0.0,NH3_to_EL_[SG]
SG,MY,,,133.0,0.0,NH3_to_HTH_[SG]
SG,MY,,,133.0,0.7,FF_to_HTH_[SG]
SG,MY,,,133.0,0.0,EL_Demand_[SG]
SG,MY,,,133.0,0.0,HTH_Demand_[SG]
SG,MY,,,133.0,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,,,133.0,1.3,RE_PV_Openfield_Lim_[MY]
SG,MY,,,133.0,0.9,RE_WIND_Onshore_Lim_[MY]
SG,MY,,,133.0,0.8,RE_WIND_Offshore_Lim_[MY]
SG,MY,,,133.0,4.5,PP_CO2_[MY]
SG,MY,,,133.0,0.0,BESS_[MY]
SG,MY,,,133.0,0.1,EL_to_HTH_[MY]
SG,MY,,,133.0,0.0,EL_to_NH3_[MY]
SG,MY,,,133.0,0.0,NH3_Storage_[MY]
SG,MY,,,133.0,0.0,NH3_to_EL_[MY]
SG,MY,,,133.0,0.0,NH3_to_HTH_[MY]
SG,MY,,,133.0,1.7,FF_to_HTH_[MY]
SG,MY,,,133.0,0.0,EL_Demand_[MY]
SG,MY,,,133.0,0.0,HTH_Demand_[MY]
SG,MY,,,133.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,,,133.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,,,133.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,,,133.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,MY,,,133.0,3.6,PP_CO2_[SG]
SG,MY,,,133.0,0.0,BESS_[SG]
SG,MY,,,133.0,0.0,EL_to_HTH_[SG]
SG,MY,,,133.0,0.0,EL_to_NH3_[SG]
SG,MY,,,133.0,0.0,NH3_Storage_[SG]
SG,MY,,,133.0,0.0,NH3_to_EL_[SG]
SG,MY,,,133.0,0.0,NH3_to_HTH_[SG]
SG,MY,,,133.0,0.7,FF_to_HTH_[SG]
